budget,gross
40000000,125729635
20000000,25975621
38000000,118102725
13000000,73983003
15000000,4531320
35000000,108007109
100000000,94061311
50000000,25035950
9000000,29777777
20000000,14880939
65000000,143695338
1500000,850419
15000000,20651333
70000000,183388953
43000000,47309313
60000000,76249438
30000000,43763247
5000000,45173154
20000000,13385737
20000000,46771565
25000000,3885342
45000000,114501299
29000000,49052787
3500000,4462034
30000000,106127278
30000000,9169507
9000000,81705746
30000000,678150
10000000,39712000
27000000,93282604
125000000,64493915
3800000,1138609
5000000,22227514
18000000,90632641
40000000,30930984
6000000,2840408
3000000,21401949
6000000,6698679
35000000,24972139
9000000,12957265
8000000,685780
20000000,4978353
10000000,7994527
40000000,124608438
60000000,23157646
35000000,25070261
14000000,14459330
5000000,9037058
180000000,853983911
30000000,150847274
30000000,176600207
35000000,701796444
175000000,880166924
150000000,259334548
200000000,863756051
84000000,438006904
90000000,962542945
69000000,177856751
12000000,37270721
250000000,1236005118
4500000,255589157
100000000,527016307
175000000,807817888
34000000,226945087
125000000,527965936
97000000,619179950
149000000,822824522
97000000,240891763
40000000,171547802
20000000,306209289
300000000,657926987
30000000,44516999
230000000,794881442
19400000,195333312
6000000,8003180
185000000,566652812
160000000,1264434525
104000000,410902662
15000000,160192267
317000000,1332698830
11000000,53939297
30000000,100014025
11000000,43980821
55000000,352794081
175000000,148675066
10000000,78966486
29000000,48453605
55000000,381545846
4800000,125479266
217000000,605425157
4500000,3283369
110000000,169846945
30000000,59284015
39000000,35669017
177200000,225973340
60000000,113231078
45000000,185400345
33000000,67234188
2000000,10971298
58000000,100541806
13000000,24646055
7000000,43069254
35000000,47756590
37500000,125856180
15000000,306515884
50000000,134866593
150000000,490719763
120000000,221600160
18000000,40656399
175000000,383930656
20000000,47347283
85000000,346118277
125000000,409231607
25000000,26800152
111000000,296069199
38000000,26351322
10500000,27869129
9000000,22088533
80000000,311950384
5000000,56411585
6000000,3187255
35000000,145418070
10000000,102952888
35000000,43155261
10000000,29820616
5300000,62198461
50000000,180419231
10000000,61621140
100000,1951683
100000000,142337240
50000000,56996304
25000000,12751667
5000000,19735344
80000000,1034800131
25000000,84918541
68000000,55003890
5000000,16373843
25000000,15889124
50000000,217776646
12000000,17768012
40000000,227978645
19000000,140552359
30000000,16080475
35000000,62832209
18000000,41681746
1200000,4101699
25000000,18598607
10000000,4596705
69000000,180613824
22000000,205035819
20000000,96942115
19000000,45158254
25000000,83080890
70000000,123081555
40000000,34184504
20000000,26152835
34000000,23355100
40000000,55668698
30000000,32917353
25000000,9204549
30000000,8503658
60000000,197183546
42000000,60845711
22000000,13025860
21000000,66558465
22000000,41087017
10000000,62547032
15000000,6423605
6500000,60330833
5000000,5042014
25000000,25601244
21000000,34814102
22000000,40140972
6400000,6724365
5400000,12062146
28000000,130560428
38000000,125427681
12000000,23468586
12000000,10116816
2000000,2308355
7400000,29874280
17000000,350320413
321000000,2048359754
110000000,786470484
52000000,911902649
200000000,1347597973
10000000,80239658
20000000,97644617
160000000,1148485886
175000000,582893671
90000000,375540831
178000000,791657398
100000000,856085151
23000000,321752656
30000000,238539198
162000000,622674139
15000000,93413709
88000000,160542134
29000000,25957482
275000000,392924807
2800000,27365467
8500000,2053469
30000000,80509622
40000000,43070915
69000000,151572634
36000000,436188866
75000000,395618157
30000000,49562710
48000000,120556201
170000000,1310466296
2000000,14347433
70000000,297718711
20000000,7942093
15000000,95918706
130000000,530259473
6000000,1555203
35000000,75837743
55000000,371987838
10000000,255614941
200000000,1244639527
13000000,137056262
12000000,242115
22000000,365551694
62000000,190400157
30000000,119942387
37000000,117679066
28000000,78130625
23000000,34934009
32000000,31882724
200000000,654855901
40000000,31676128
50000000,174804407
100000000,86493046
25000000,16636604
4000000,64417003
35000000,59945012
17000000,66316289
130000000,349546142
135000000,467989645
60000000,76073488
80000000,528583774
50000000,66308758
50000000,351496066
35000000,67450815
40000000,75339459
5000000,16706680
25000000,46712809
175000000,529323962
38000000,41657844
94000000,274650803
43000000,35164920
100000000,83869818
62000000,288175335
59000000,105713218
50000000,214215889
120000000,428028233
10000000,9303022
30000000,9330075
42000000,75984700
880000,75462037
10000000,7997774
21000000,94019120
5000000,31039126
25000000,53918723
4900000,10421847
24000000,17612099
38000000,13143056
32000000,94539426
15000000,13313581
10000000,51738549
10000000,104438188
3200000,18170707
150000000,290930148
42000000,40466970
34000000,41142379
3500000,95330710
51000000,98203196
12000000,91244913
2000000,4165776
100000000,132675864
8000000,487420
4500000,62475342
30000000,65859911
42000000,131523093
10000000,4376819
10000000,6412349
75000000,197744377
9000000,5580940
10000000,167885588
10000000,12442161
1500000,14293601
11000000,11853081
25000000,158972499
125000000,304868961
3500000,16376066
20000000,38755900
14000000,953953
39000000,13061491
7000000,2584988
1000000,16024987
120000000,173961069
40000000,27506452
13000000,15636462
29000000,103105878
80000000,214040103
5500000,18160930
16000000,72294066
19000000,46664414
7700000,43016528
12000000,20596567
75000000,512492755
3500000,44019588
30000000,57076286
19000000,5103663
13500000,31626386
35000000,3326364
10000000,24420923
16000000,20780685
50000000,54622814
7000000,86086881
8500000,115757940
30000000,10313019
35000000,93320380
19000000,33705333
9000000,47967636
90000000,374565754
356000000,2797501328
11000000,40811919
40000000,216601214
9000000,155712077
55000000,1074427370
26000000,153193369
11400000,258908054
75000000,327281779
40000000,311539397
200000000,759056935
160000000,1128462972
14000000,69756455
160000000,1131927996
14000000,90335025
100000000,365971656
79000000,473093228
95000000,384623579
275000000,1078232589
97600000,225508210
159000000,968853
125000000,800059707
170000000,404980543
20000000,255184580
6000000,57615777
50000000,55065289
185000000,261119292
13000000,237860050
138000000,173469516
6000000,24959607
49000000,119682635
20000000,246999039
10000000,10209813
260000000,1670727580
183000000,1050693953
18600000,333686
170000000,386600138
40000000,195179299
20000000,157563598
200000000,1073394593
42000000,122810399
40000000,53873809
40000000,146661977
110000000,253890701
200000000,252442974
150000000,1450026933
6000000,32893421
90000000,127461872
6200000,133031473
20000000,111037232
5000000,61105744
7000000,91527795
60000000,76419755
13500000,91542097
30000000,231252591
50000000,91490353
4000000,22386555
24000000,203783566
45000000,9932621
25000000,67760877
129000000,525683457
150000000,433921300
25000000,14454622
185000000,491730089
80000000,430051293
9000000,123133739
25000000,8808611
25000000,104545505
8000000,36599361
65000000,147792047
20000000,72216294
21000000,113118226
12000000,47582563
9000000,64600152
11100000,193457467
8000000,1561698
99000000,192306508
10000000,44907074
170000000,353284621
21000000,95017038
35000000,21360215
5000000,4554416
38000000,15980032
16000000,32390945
18000000,33766787
15000000,18096691
20000000,11025353
52000000,176345966
75000000,180314199
31000000,48791187
16000000,75741734
5000000,5288011
45000000,32450241
20000000,9090040
15000000,15383580
18000000,80708134
90000000,119559110
10000000,345900
48000000,699992512
59000000,32140970
100000000,26565710
14000000,50444358
10000000,16418218
20000000,49000667
6000000,21150265
5000000,38026103
20000000,74747725
9000000,6750029
5000000,359377
6000000,21354152
350000,226421
2500000,50400
1200000,45696
